Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
Hospital  Authority Head Office,HAHO(S)/T/23-D229,Supply of Cytarabine  Injections,Open,"DCH Auriga (Hong Kong)  Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,25 December 2024 -24 December 2027,HKD9.48Mn,29-August-2024
Hospital  Authority Head Office,HAHO(S)/T/23-D239,Supply of Leuprorelin  Acetate Injections,Open,"DCH Auriga (Hong Kong)  Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,2 February 2025  -1 February 2028,HKD85.14Mn,29-August-2024
Hospital  Authority Head Office,HAHO(S)/T/24-D004,Tisagenlecleucel (Kymriah)  Infusion,Limited  (Purchase of products under patents or copyrights coverage),"Novartis Pharmaceuticals  (HK) Limited  7/F Citi Tower, One Bay East 83 Hoi Bun Road  Kwun Tong, Kowloon  Hong Kong",-,26 October 2024  -25 October 2027,HKD125.64Mn,29-August-2024
Hospital  Authority Head Office,HAHO(S)/T/24-D020,Supply of Pomalidomide  Capsules,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong  Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,28 October 2024  -27 October 2026,HKD43.04Mn,29-August-2024
Hospital  Authority Head Office,DSQ23-213,Supply of Trastuzumab  Deruxtecan (Enhertu) Infusion 100mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,18 November 2024  -17 November 2026,HKD106.02Mn,29-August-2024
Hospital  Authority Head Office,DSQ23-226,Supply of Abemaciclib Tablet  100mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,9 October 2024  -8 October 2026,HKD38.90Mn,29-August-2024
Hospital  Authority Head Office,DSQ23-243,Supply of Brigatinib Tablet  180mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,2 February 2025  -1 February 2027,HKD18.39Mn,29-August-2024
Hospital  Authority Head Office,DSQ23-244,Supply of Rituximab  (Rixathon) Injection 10mg/ml 50ml,Limited  (Absence of competition for technical reasons),"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,14 December 2024  -13 December 2026,HKD19.89Mn,29-August-2024
Hospital  Authority Head Office,DSQ24-022,Supply of Asciminib (HCL)  Tablet 40mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,5 September 2024  4 September 2026,HKD2.75Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/22-D056,Supply of Rasagiline Tablet 1mg,Open,"DKSH Hong Kong Limited  23/F, Tower A, Southmark,  11 Yip Hing Street,  Wong Chuk Hang, Hong Kong",-,30 September 2024  - 29 September 2027,HKD49.87Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/22-D255,Supply of Venlafaxine (Hydrochloride) Extended Release Capsules,Open,"I & C (Hong Kong) Limited  Unit J, 10/F, World Tech Centre,  95 How Ming Street, Kwun Tong  Kowloon, Hong Kong",-,16 March 2025  - 15 March 2028,HKD5.92Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D008,Supply of Tramadol Hydrochloride Capsule 50mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,29 December 2024  -28 December 2027,HKD15.72MN,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D032,Supply of Ziprasidone Capsules,Open,"Hong Kong Medical Supplies Limited  7/F, China Aerospace Centre  143 Hoi Bun Road  Kwun Tong, Kowloon, Hong Kong",-,7 June 2025  6 June 2028,HKD3.22Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D098,Supply of Flunitrazepam Tablet 1mg,Open,"DKSH Hong Kong Limited  23/F, Tower A, Southmark,  11 Yip Hing Street,  Wong Chuk Hang, Hong Kong",-,13 September 2024  -12 September 2027,HKD1.16Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D145,Supply of Paracetamol Infusion 1g,Open,"Hind Wing Company Limited  Unit B 1103B, 11/F., Block B, Seaview Estate  2-8 Watson Road  North Point, Hong Kong",-,20 February 2025  - 19 February 2028,HKD6.12Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D236,Supply of Aripiprazole Prefilled Syringes,Limited  ( Proprietary products),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,31 October 2024  - 30 October 2027,HKD95.13Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/22-D100,Supply of Sildenafil Tablet 20mg,Open,"Pharmason Company Limited  16/F, Ever Gain Centre, 28 On Muk Street, Shatin, Hong Kong",-,1 December 2024  - 30 November 2027,HKD1.02Mn,30-August-2024
Kowloon Central Cluster,KCC/T/05/008/23/HCH,"Supply of Patient Clothing for Hong Kong Children’s Hospital,  Kowloon Central Cluster, Hospital Authority",Open,"Wah Mei Fashion & Trading Co., Ltd.  Unit A2, 10/F, Block A,  Hong Kong Industrial Centre,  489-491 Castle Peak Road, Kowloon",-,2 July 2024 - 1 July 2025,HKD0.94Mn,2-July-2024
Kowloon Central Cluster,KCC/T/H10/083/22/KWH,"Supply and Installation of Scanning Systems, Ultrasonic, General  Purpose for Kwong Wah Hospital, Kowloon Central Cluster, Hospital Authority",Open,"S&V Samford Medical Limited Room 1606, Kodak House II  No. 39 Healthy Street East  North Point",-,With effect from the date of Letter of Acceptance to fulfilment  of contract obligations,HKD4.40Mn,2-July-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/010/2324,"Supply and Installation of Cytometers, Automated, Flow for  United Christian Hospital, Kowloon East Cluster, Hospital Authority",Open,"Beckman Coulter H.K. Limited  22/F, AXA Tower, Landmark East, 100 How Ming Street, Kwun Tong, Kowloon,  Hong Kong",-,4 July 2024 - 3 July 2025,HKD3.00Mn,4-July-2024
Hospital Authority Head Office,HAHO(S)/T/22-D216,Supply of Cetirizine Hydrochloride Tablet 10mg,Open,"Hong Kong Medical Supplies Limited  7/F, China Aerospace Centre,  143 Hoi Bun Road,  Kwun Tong, Kowloon, Hong Kong",-,10 January 2025 - 9 January 2028,HKD2.35Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D135,Supply of Aspirin and Glycine Tablet,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,19 November 2024 - 18 November 2027,HKD6.68Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D162,"Supply of Indacaterol (Acetate), Glycopyrronium (Bromide) and  Mometasone Furoate Inhalation Capsule",Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,17 March 2025 - 16 March 2028,HKD14.09Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D163,Supply of Dabigatran Etexilate Capsules,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,17 January 2025 - 16 January 2028,HKD136.50Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D200,Supply of Compound Methyl Salicylate Ointment,Open,"Pharmason Company Limited  16/F, Ever Gain Centre, 28 On Muk Street, Shatin, Hong Kong",-,19 November 2024 - 18 November 2027,HKD27.97Mn,5-July-2024
Hospital Authority Head Office,DSQ23-167,Supply of Adalimumab (Hyrimoz) Prefilled Pen 40mg/0.8ml,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,24 February 2025 - 23 February 2027,HKD22.41Mn,5-July-2024
Hospital Authority Head Office,DSQ23-215,Supply of Fluticasone Propionate Inhaler 250mcg/dose 120dose(s),Limited  (Extreme urgency requirement to meet operational need),"GlaxoSmithKline Limited  23/F, Tower 6, The Gateway,  9 Canton Road, Tsim Sha Tsui,  Kowloon, Hong Kong",-,27 November 2024 - 26 November 2026,HKD2.11Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/22-D180,Supply of Mometasone Furoate Aqueous Nasal Spray 50mcg/dose,Open,"Hind Wing Company Limited  Unit 1103B, 11/F., Block B, Seaview Estate  2-8 Watson Road  North Point, Hong Kong",-,12 December 2024  -11 December 2026,HKD7.80Mn,5-July-2024
Hospital Authority Head Office,DSQ23-191,Supply of Tepotinib (HCl) Tablet 225mg,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,12 July 2024  -11 July 2026,HKD4.31Mn,5-July-2024
Hospital Authority Head Office,DSQ23-192,Supply of Oseltamivir (Phosphate) Capsule 30mg,Limited  (Extreme urgency requirement to meet operational need),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,25 August 2024  -24 August 2026,HKD2.07Mn,5-July-2024
Hospital Authority Head Office,DSQ23-197,Supply of Phesgo Injection 60mg+60mg/ml 10ml,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,16 November 2024  -15 November 2026,HKD230.54Mn,5-July-2024
Hospital Authority Head Office,DSQ23-208,Supply of Lorlatinib Tablet 100mgl,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,16 November 2024  -15 November 2026,HKD69.05Mn,5-July-2024
Hospital Authority Head Office,DSQ23-214,Supply of Ribociclib (Succinate) Tablet 200mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,8 September 2024  -7 Septemnber 2026,HKD104.29Mn,5-July-2024
Hospital Authority Head Office,DSQ23-228,Supply of Daratumumab (Darzalex) Injection 120mg/ml 15ml,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,1 January 2025  -31 December 2026,HKD97.50Mn,5-July-2024
Hospital Authority Head Office,DSQ23-224,Supply of Brigatinib Tablet 90mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,12 July 2024  -11 July 2026,HKD7.64Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D027,Supply of Denosumab Injections,Limited  (Absence of competition for technical reasons),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place 25 Westlands Road, Quarry Bay, Hong Kong",-,19 September 2024  - 18 September 2027,HKD265.22Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D058,Supply of Desmopressin Oral Lyophilisates,Open,"DCH Auriga (Hong Kong) Limited - Universal Division  Area B, 11/F, Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, New Territories",-,7 November 2024  - 6 November 2027,HKD14.67Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D078,Supply of Anidulafungin for Injection 100mg,Open,"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F, Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, New Territories",-,24 January 2025  - 23 January 2028,HKD15.50Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D130,Supply of Fluconazole Oral Suspension 50mg/5ml,Open,"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F, Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, New Territories",-,31 May 2025  - 30 May 2028,HKD11.06Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D164,"Supply of Chlorhexidine Gluconate 2% in 70% Alcohol Disinfectant  Solution, 120ml",Open,"Pharmason Company Limited Flat A, B and C1, 16/F, Ever Gain Centre  28 On Muk Street  Sha Tin, New Territories",-,18 October 2024  - 17 October 2027,HKD14.99Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D171,Supply of Ceftazidime and Avibactam for infusion,Open,"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F, Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, New Territories",-,8 October 2024  - 7 October 2027,HKD27.56Mn,5-July-2024
Hospital Authority Head Office,DST24-003,Supply of Chlorhexidine Gluconate Disinfectant Solution 0.05%,Open,"Realplus Asia Limited  Flat B, 5/F, Golden Bear Industrial Centre  66-82 Chai Wan Kok Street  Tsuen Wan, New Territories",-,1 October 2024  - 31 March 2025,HKD6.03Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D120,Timolol Maleate Eye Drops 0.5%,Open,"Pharmason Company Limited 16/F, Ever Gain Center, 28 On Muk Street, Shatin, New Territories, Hong Kong",-,19 November 2024  - 18 November 2027,HKD6.24Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D177,Supply of Aflibercept Intravitreal Prefilled Syringe 3.6mg,Limited  (Absence of competition for technical reasons),"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,22 September 2024  - 21 September 2027,HKD355.76Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D178,Peritoneal Dialysis Solutions (Baxter),Limited  (Absence of competition for technical reasons),"DCH Auriga (Hong Kong) Limited-Healthcare Division 11/F Wyler Centre 1,  202-210 Tai Lin Pai Road,  Kwai Chung, Hong Kong",-,11 September 2024  - 10 September 2027,HKD1.11Bn,5-July-2024
Hospital Authority Head Office,DSQ23-206,Supply of Fleet Enema 4.5fl Oz,Limited  (Extreme urgency requirement to meet operational need),"DCH Auriga (Hong Kong) Limited-Healthcare Division 11/F Wyler Centre 1,  202-210 Tai Lin Pai Road,  Kwai Chung, Hong Kong",-,26 October 2024  - 25 October 2026,HKD20.76Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D023,"Supply of Insulin Glargine (Lantus Solostar) Prefilled Pen 100U  per ml, 3ml",Limited  (Absence of competition for technical reasons),"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,11 January 2025  - 10 January 2028,HKD120Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D024,Supply of Insulin Detemir Prefilled Pen 300U,Limited  (Absence of competition for technical reasons),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,15 January 2025  - 14 January 2028,HKD5.87Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D101,Supply of Rotigotine Transdermal Patches,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,10 October 2024  - 9 October 2027,HKD26.51Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D102,Supply of Methylphenidate Hydrochloride Modified Release Capsule  20mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,13 August 2024  - 12 August 2027,HKD40.92Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D148,Supply of Meglumine Gadoterate Injection 10mmol,Limited  (Absence of competition for technical reasons),"Guerbet Asia Pacific Limited  Unit 1502-3, 15/F,  Tower A, Cheung Kei Center,  18 Hung Luen Rd, Hung Hom,  Kowloon, Hong Kong",-,25 August 2024  - 24 August 2027,HKD16.28Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/23-D182,Supply of Nicotine (Bitartrate) (Mint) Lozenge 1mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,7 January 2025  - 6 January 2028,HKD4.58Mn,5-July-2024
Hospital Authority Head Office,HAHO(S)/T/24-D001,Supply of Pregabalin Capsule 25mg,Limited  (Extreme urgency requirement to meet operational need),"I & C (Hong Kong) Limited  Unit J, 10/F., World Tech Centre  95 How Ming Street  Kwun Tong, Kowloon",-,10 November 2024  - 9 November 2025,HKD5.63Mn,5-July-2024
Kowloon East Cluster,KEC/ADM/CONF/PFPE/13/015/2324,"Supply and Installation of Radiotherapy Systems, Linear  Accelerator and Information Systems, Data Management, Oncology, Radiotherapy  for Expansion of United Christian Hospital, Kowloon East Cluster, Hospital  Authority",Open,"Varian Medical Systems Pacific, Inc. Room 1402-07, 14/F, Tower 1, The Gateway, Harbour City, 25 Canton Road,  Tsim Sha Tsui, Kowloon, Hong Kong",-,With effect from the date of contract award until fulfilment of  the contractual obligations,HKD107.92Mn,10-July-2024
Kowloon Central Cluster,KCC/T/H11/087/23/KWH,"Supply and Installation of Video Systems, Endoscopic, Chip  Camera, Laryngoscopic Intubation for Kwong Wah Hospital, Kowloon Central  Cluster, Hospital Authority",Open,"Sonne Technology International Limited  Units 2901-03 & 05, 29/F, The Octagon, 6 Sha Tsui Road, Tsuen Wan, New  Territories, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD0.39Mn,10-July-2024
Hong Kong West Cluster,HKWC-T030/21(P-HKWC),"Supply and Installation of Disinfectors, Liquid Germicide,  Flexible Endoscope for Redevelopment Project of Grantham Hospital, Hong Kong  West Cluster, Hospital Authority",Open,"Steris Hong Kong Limited  A8-A9, 10/F, NCB Innovation Ctr, 888 Lai Chi Kok Road, Kowloon, Hong  Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD1.20Mn,10 July 2024
New Territories East Cluster,NTEC/P&MM/PFPA/23-T003,"Provision of Project Management Service for Supply and Installation of  Integrated Telecommunication System for the Redevelopment of Prince of Wales  Hospital, New Territories East Cluster, Hospital Authority",Open,"WSP (Asia) Limited  7/F, One Kowloon, 1 Wang Yuen Street, Kowloon Bay, Kowloon,  Hong Kong",-,With effect from the date of Letter of Acceptance to fulfilment  of contractual obligations,HKD2.80Mn,12-July-2024
New Territories East Cluster,NTEC/P&MM/T7/CBV23/24-18893,"Supply and Installation of Telephone System for Cheshire Home,  Shatin, New Territories East Cluster, Hospital Authority",Open,"China Mobile Hong Kong Company Limited L21, Tower 1, Kowloon Commerce Centre, 51 Kwai Cheong Road, Kwai Chung,  Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfillment of contractual obligations,HKD3.64Mn,12-July-2024
